UnitNumber,Time,Setting1,Setting2,Setting3,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19,Sensor20,Sensor21,ma_5_Sensor1,ma_5_Sensor2,ma_5_Sensor3,ma_5_Sensor4,ma_5_Sensor5,ma_5_Sensor6,ma_5_Sensor7,ma_5_Sensor8,ma_5_Sensor9,ma_5_Sensor10,ma_5_Sensor11,ma_5_Sensor12,ma_5_Sensor13,ma_5_Sensor14,ma_5_Sensor15,ma_5_Sensor16,ma_5_Sensor17,ma_5_Sensor18,ma_5_Sensor19,ma_5_Sensor20,ma_5_Sensor21,sd_10_Sensor1,sd_10_Sensor2,sd_10_Sensor3,sd_10_Sensor4,sd_10_Sensor5,sd_10_Sensor6,sd_10_Sensor7,sd_10_Sensor8,sd_10_Sensor9,sd_10_Sensor10,sd_10_Sensor11,sd_10_Sensor12,sd_10_Sensor13,sd_10_Sensor14,sd_10_Sensor15,sd_10_Sensor16,sd_10_Sensor17,sd_10_Sensor18,sd_10_Sensor19,sd_10_Sensor20,sd_10_Sensor21,prob_250_Sensor1,prob_250_Sensor2,prob_250_Sensor3,prob_250_Sensor4,prob_250_Sensor5,prob_250_Sensor6,prob_250_Sensor7,prob_250_Sensor8,prob_250_Sensor9,prob_250_Sensor10,prob_250_Sensor11,prob_250_Sensor12,prob_250_Sensor13,prob_250_Sensor14,prob_250_Sensor15,prob_250_Sensor16,prob_250_Sensor17,prob_250_Sensor18,prob_250_Sensor19,prob_250_Sensor20,prob_250_Sensor21,RUL
1,31,-0.0006,0.0004,100.0,518.67,642.58,1581.22,1398.91,14.62,21.61,554.42,2388.08,9056.40,1.30,47.23,521.79,2388.06,8130.11,8.4024,0.03,393,2388,100.00,38.81,23.3552,518.67,642.266,1586.998,1399.9180000000001,14.62,21.61,554.116,2388.082,9050.324,1.3,47.288,521.924,2388.064,8132.032000000001,8.4262,0.03,392.0,2388.0,100.0,38.924,23.3735,0.0,0.2676284738214521,4.375641210154223,3.287608401254622,1.7763568394002505E-15,3.552713678800501E-15,0.5370661039388233,0.029137604568698953,4.601145074869807,2.220446049250313E-16,0.10562196741208818,0.2598845897701524,0.026627053911367042,2.4966916109124435,0.021193633478004625,6.938893903907228E-18,0.7483314773547883,0.0,0.0,0.10826356727911804,0.025035343017422156,1.0,0.03225806451612903,0.03225806451612903,0.03225806451612903,1.0,1.0,0.0967741935483871,0.0967741935483871,0.03225806451612903,1.0,0.06451612903225806,0.03225806451612903,0.3225806451612903,0.03225806451612903,0.03225806451612903,1.0,0.22580645161290322,1.0,1.0,0.03225806451612903,0.06451612903225806,112 
2,49,0.0018,-0.0001,100.0,518.67,642.55,1586.59,1410.83,14.62,21.61,553.52,2388.10,9044.77,1.30,47.67,521.74,2388.09,8126.90,8.4505,0.03,391,2388,100.00,38.81,23.2618,518.67,642.6719999999999,1588.342,1406.778,14.62,21.61,553.748,2388.108,9047.032000000001,1.3,47.50600000000001,521.5960000000001,2388.102,8127.6720000000005,8.442260000000001,0.03,392.2,2388.0,100.0,38.902,23.274340000000002,0.0,0.12039933554635215,2.734882081553063,3.294093046651815,1.7763568394002505E-15,3.552713678800501E-15,0.3289376840679766,0.034351128074577617,3.160074207989169,2.220446049250313E-16,0.08371977066380437,0.3676737684415348,0.01857417562100818,1.9494983970243418,0.022625801643256477,6.938893903907228E-18,0.7999999999999999,0.0,0.0,0.0805046582503161,0.04715449607407529,1.0,0.02040816326530612,0.02040816326530612,0.04081632653061224,1.0,1.0,0.02040816326530612,0.14285714285714285,0.02040816326530612,1.0,0.02040816326530612,0.061224489795918366,0.08163265306122448,0.02040816326530612,0.02040816326530612,1.0,0.04081632653061224,1.0,1.0,0.08163265306122448,0.02040816326530612,98 
3,126,-0.0016,0.0004,100.0,518.67,642.88,1589.75,1418.89,14.62,21.61,552.59,2388.16,9049.26,1.30,47.88,520.83,2388.14,8131.46,8.4119,0.03,395,2388,100.00,38.93,23.2740,518.67,642.874,1592.6399999999999,1413.3500000000001,14.62,21.61,552.702,2388.166,9047.405999999999,1.3,47.706,520.722,2388.174,8129.666,8.458680000000001,0.03,394.2,2388.0,100.0,38.686,23.244120000000002,0.0,0.25092628399591577,3.705989881259781,2.9549862943844776,1.7763568394002505E-15,3.552713678800501E-15,0.3372847461715581,0.024819347291929823,3.237186432691104,2.220446049250313E-16,0.12515989773086347,0.28612060394176797,0.025865034312737754,2.755282381172468,0.021768325613147378,6.938893903907228E-18,0.9433981132056604,0.0,0.0,0.12712592182556562,0.03716612570607822,1.0,0.007936507936507936,0.023809523809523808,0.007936507936507936,1.0,1.0,0.007936507936507936,0.09523809523809523,0.023809523809523808,1.0,0.015873015873015872,0.023809523809523808,0.1349206349206349,0.015873015873015872,0.015873015873015872,1.0,0.11904761904761904,1.0,1.0,0.023809523809523808,0.007936507936507936,69 
4,106,0.0012,0.0004,100.0,518.67,642.78,1594.53,1406.88,14.62,21.61,552.64,2388.13,9051.30,1.30,47.65,521.88,2388.11,8133.64,8.4634,0.03,395,2388,100.00,38.58,23.2581,518.67,642.7859999999998,1591.9180000000001,1410.736,14.62,21.61,553.444,2388.1160000000004,9054.8,1.3,47.642,521.434,2388.114,8134.3279999999995,8.45182,0.03,393.6,2388.0,100.0,38.757999999999996,23.251560000000005,0.0,0.17976651523572285,2.7090485414624577,4.047835965055881,1.7763568394002505E-15,3.552713678800501E-15,0.41866932058604633,0.04247352116310059,4.81240521984617,2.220446049250313E-16,0.04919349550499498,0.28281442678901225,0.02368543856459888,2.581066639976517,0.015730508574105382,6.938893903907228E-18,1.019803902718557,0.0,0.0,0.09737042672187507,0.05187016965462959,1.0,0.018867924528301886,0.02830188679245283,0.009433962264150943,1.0,1.0,0.009433962264150943,0.0660377358490566,0.009433962264150943,1.0,0.018867924528301886,0.018867924528301886,0.1320754716981132,0.018867924528301886,0.018867924528301886,1.0,0.02830188679245283,1.0,1.0,0.009433962264150943,0.02830188679245283,82 
5,98,-0.0013,-0.0004,100.0,518.67,642.27,1589.94,1419.36,14.62,21.61,553.29,2388.10,9053.99,1.30,47.46,521.00,2388.15,8125.74,8.4362,0.03,394,2388,100.00,38.75,23.4117,518.67,642.702,1591.568,1411.796,14.62,21.61,553.158,2388.1220000000003,9053.33,1.3,47.536,521.0620000000001,2388.134,8128.798,8.43662,0.03,393.4,2388.0,100.0,38.81,23.291140000000002,0.0,0.1926551322960298,2.764665621734402,4.714275023797402,1.7763568394002505E-15,3.552713678800501E-15,0.44476960327792325,0.02828427124748441,3.354178886105863,2.220446049250313E-16,0.109091704542555,0.22699118925632572,0.030999999999997477,3.481632375768537,0.017218466830702477,6.938893903907228E-18,0.6708203932499369,0.0,0.0,0.07799999999999939,0.07460846131639534,1.0,0.01020408163265306,0.030612244897959183,0.01020408163265306,1.0,1.0,0.01020408163265306,0.12244897959183673,0.02040816326530612,1.0,0.030612244897959183,0.01020408163265306,0.04081632653061224,0.01020408163265306,0.02040816326530612,1.0,0.24489795918367346,1.0,1.0,0.04081632653061224,0.01020408163265306,91 
6,105,0.0076,-0.0003,100.0,518.67,643.05,1586.94,1404.49,14.62,21.61,553.73,2388.14,9055.83,1.30,47.51,521.56,2388.15,8139.02,8.4452,0.03,393,2388,100.00,38.91,23.3269,518.67,642.586,1588.934,1406.044,14.62,21.61,553.29,2388.1459999999997,9052.462000000001,1.3,47.516,521.3820000000001,2388.116,8132.738,8.44874,0.03,392.8,2388.0,100.0,38.773999999999994,23.28456,0.0,0.33991763708284906,3.0568743840726853,2.5081076531919564,1.7763568394002505E-15,3.552713678800501E-15,0.3723237838226331,0.025865034312681494,2.6769901008409085,2.220446049250313E-16,0.08022468448052585,0.3371409200912953,0.022000000000017197,2.8375122907223194,0.015075679089181946,6.938893903907228E-18,0.7483314773547883,0.0,0.0,0.12172099243762291,0.055291935216629756,1.0,0.009523809523809525,0.01904761904761905,0.01904761904761905,1.0,0.9904761904761905,0.02857142857142857,0.06666666666666667,0.009523809523809525,1.0,0.02857142857142857,0.01904761904761905,0.01904761904761905,0.009523809523809525,0.01904761904761905,1.0,0.4380952380952381,1.0,1.0,0.0380952380952381,0.009523809523809525,93 
7,160,0.0016,-0.0001,100.0,518.67,642.10,1589.59,1413.57,14.62,21.61,553.42,2388.04,9070.99,1.30,47.32,522.32,2388.07,8149.19,8.4028,0.03,393,2388,100.00,38.91,23.2763,518.67,642.2159999999999,1587.0220000000002,1407.3719999999998,14.62,21.61,553.876,2388.028,9067.831999999999,1.3,47.35,522.192,2388.054,8145.868,8.4241,0.03,393.0,2388.0,100.0,38.956,23.331979999999998,0.0,0.37541443765524335,2.816147900945518,5.492067370307817,1.7763568394002505E-15,3.552713678800501E-15,0.3397366627257035,0.026851443164154595,5.639715329695341,2.220446049250313E-16,0.0972676719162127,0.29087626235223024,0.033823069050614676,3.3029273379836326,0.0179052059468748,6.938893903907228E-18,0.5385164807134505,0.0,0.0,0.06609841147864377,0.06361110044638435,1.0,0.0125,0.00625,0.00625,1.0,0.9625,0.00625,0.10625,0.00625,1.0,0.0125,0.03125,0.0375,0.0125,0.00625,1.0,0.25625,1.0,1.0,0.0625,0.00625,91 
8,166,0.0016,-0.0005,100.0,518.67,642.59,1591.91,1413.89,14.62,21.61,553.51,2388.14,9049.96,1.30,47.59,520.53,2388.12,8127.84,8.4744,0.03,393,2388,100.00,38.73,23.2465,518.67,642.8900000000001,1592.4360000000001,1410.176,14.62,21.61,553.184,2388.13,9049.198,1.3,47.546,520.892,2388.1159999999995,8129.839999999999,8.453899999999999,0.03,392.8,2388.0,100.0,38.779999999999994,23.29198,0.0,0.22079175709250248,4.224635487234416,3.39587411427458,1.7763568394002505E-15,3.552713678800501E-15,0.3292962192312581,0.01962141687027859,3.5502895656550413,2.220446049250313E-16,0.042059481689626664,0.23350588857670765,0.04054626986542111,2.311009519668824,0.014640819649186137,6.938893903907228E-18,0.7000000000000001,0.0,0.0,0.08352245207128393,0.042104778826161766,1.0,0.006024096385542169,0.006024096385542169,0.006024096385542169,1.0,0.9939759036144579,0.006024096385542169,0.09036144578313253,0.018072289156626505,1.0,0.04819277108433735,0.006024096385542169,0.07228915662650602,0.012048192771084338,0.006024096385542169,1.0,0.4036144578313253,1.0,1.0,0.012048192771084338,0.012048192771084338,95 
9,55,-0.0003,0.0004,100.0,518.67,642.27,1593.61,1410.27,14.62,21.61,552.58,2388.13,9057.57,1.30,47.58,521.65,2388.16,8134.76,8.4293,0.03,392,2388,100.00,38.78,23.3515,518.67,642.55,1588.58,1407.53,14.62,21.61,553.2520000000001,2388.1340000000005,9052.438,1.3,47.584,521.528,2388.142,8133.514,8.44332,0.03,392.8,2388.0,100.0,38.794,23.33906,0.0,0.28913837517699303,4.253718843553239,2.7114431581724086,1.7763568394002505E-15,3.552713678800501E-15,0.3972014602188609,0.030347981810940707,3.395428691638245,2.220446049250313E-16,0.1289999999999995,0.3220310544031332,0.035440090293275675,3.377911928988225,0.01556677230513779,6.938893903907228E-18,0.6324555320336759,0.0,0.0,0.07608547824650855,0.051335863682225244,1.0,0.01818181818181818,0.01818181818181818,0.03636363636363636,1.0,1.0,0.01818181818181818,0.09090909090909091,0.03636363636363636,1.0,0.05454545454545454,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818,1.0,0.23636363636363636,1.0,1.0,0.05454545454545454,0.01818181818181818,111 
10,192,-0.0018,0.0004,100.0,518.67,643.00,1589.50,1398.99,14.62,21.61,552.88,2388.11,9060.88,1.30,47.59,521.82,2388.08,8141.91,8.4194,0.03,393,2388,100.00,38.79,23.2956,518.67,642.798,1589.724,1403.658,14.62,21.61,553.574,2388.094,9061.645999999999,1.3,47.43599999999999,521.546,2388.056,8140.204000000001,8.4301,0.03,392.8,2388.0,100.0,38.864,23.2793,0.0,0.366208956744651,3.351517417528963,5.764491651481538,1.7763568394002505E-15,3.552713678800501E-15,0.5226327582538091,0.03257299494978969,2.961095911989211,2.220446049250313E-16,0.1276753695902242,0.27325628995503876,0.026381811916518397,3.5802703808513043,0.023163205736685347,6.938893903907228E-18,0.7483314773547883,0.0,0.0,0.08380930735902731,0.06916398195592839,1.0,0.005208333333333333,0.010416666666666666,0.026041666666666668,1.0,0.9479166666666666,0.005208333333333333,0.015625,0.020833333333333332,1.0,0.005208333333333333,0.010416666666666666,0.041666666666666664,0.026041666666666668,0.015625,1.0,0.22916666666666666,1.0,1.0,0.010416666666666666,0.010416666666666666,96 
