"UnitNumber","Time","Setting1","Setting2","Setting3","Sensor1","Sensor2","Sensor3","Sensor4","Sensor5","Sensor6","Sensor7","Sensor8","Sensor9","Sensor10","Sensor11","Sensor12","Sensor13","Sensor14","Sensor15","Sensor16","Sensor17","Sensor18","Sensor19","Sensor20","Sensor21","RUL","sd_10_Sensor1","sd_10_Sensor2","sd_10_Sensor3","sd_10_Sensor4","sd_10_Sensor5","sd_10_Sensor6","sd_10_Sensor7","sd_10_Sensor8","sd_10_Sensor9","sd_10_Sensor10","sd_10_Sensor11","sd_10_Sensor12","sd_10_Sensor13","sd_10_Sensor14","sd_10_Sensor15","sd_10_Sensor16","sd_10_Sensor17","sd_10_Sensor18","sd_10_Sensor19","sd_10_Sensor20","sd_10_Sensor21","k_closest_Sensor1","k_closest_Sensor2","k_closest_Sensor3","k_closest_Sensor4","k_closest_Sensor5","k_closest_Sensor6","k_closest_Sensor7","k_closest_Sensor8","k_closest_Sensor9","k_closest_Sensor10","k_closest_Sensor11","k_closest_Sensor12","k_closest_Sensor13","k_closest_Sensor14","k_closest_Sensor15","k_closest_Sensor16","k_closest_Sensor17","k_closest_Sensor18","k_closest_Sensor19","k_closest_Sensor20","k_closest_Sensor21"
1,2,0.0019,-3.0000000000000003E-4,100,518.67,642.15,1591.82,1403.14,14.620000000000001,21.61,553.75,2388.04,9044.07,1.3,47.49,522.28,2388.07,8131.49,8.4318,0.03,392,2388,100,39.0,23.4236,190,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,15,-0.0018000000000000002,-3.0000000000000003E-4,100,518.67,642.4300000000001,1583.82,1402.13,14.620000000000001,21.61,553.64,2388.11,9052.22,1.3,47.300000000000004,522.5,2388.08,8127.56,8.4199,0.03,391,2388,100,38.99,23.35,177,0,0.344708572565293,4.3865212868513375,1.9989487237045764,0,3.552713678800501E-15,0.4504486652216645,0.03872983346208591,4.487193332139817,2.220446049250313E-16,0.11857908753233001,0.3524216224921744,0.02624880949675052,4.079906984233826,0.017286367461094777,6.938893903907228E-18,0.8306623862918073,0,0,0.07658328799418343,0.0594908976230816,518.67,642.3533333333335,1583.14,1401.2,14.620000000000001,21.61,553.8533333333335,2388.1066666666666,9050.4,1.3,47.28666666666667,522.05,2388.06,8129.97,8.423033333333334,0.03,391.3333333333333,2388,100,38.95333333333334,23.366200000000006
1,17,2.0E-4,2.0E-4,100,518.67,642.58,1584.96,1399.95,14.620000000000001,21.61,553.8000000000001,2388.06,9054.92,1.3,47.12,521.89,2388.04,8137.27,8.4542,0.03,392,2388,100,38.81,23.3319,175,0,0.3488968328890429,3.9792139927377623,2.3134322985555613,0,3.552713678800501E-15,0.39241432185890784,0.033778691508092484,3.663838014978517,2.220446049250313E-16,0.1165375475973301,0.34357677453519453,0.027276363393933564,4.579808292931052,0.022540383758933632,6.938893903907228E-18,0.7745966692414834,0,0,0.0923309265630965,0.06565638202033326,518.67,642.4533333333334,1583.6566666666665,1399.9800000000002,14.620000000000001,21.61,553.7933333333334,2388.066666666667,9052.16,1.3,47.22,521.8033333333333,2388.0633333333335,8135.9366666666665,8.429766666666668,0.03,392.3333333333333,2388,100,38.903333333333336,23.354833333333335
1,18,-0.0031000000000000003,-1.0E-4,100,518.67,642.62,1591.04,1396.1200000000001,14.620000000000001,21.61,554.2,2388.05,9049.550000000001,1.3,47.21,521.76,2388.07,8132.7300000000005,8.402800000000001,0.03,392,2388,100,38.89,23.3987,174,0,0.3533058165386009,4.054046867020652,2.6222745851646003,0,3.552713678800501E-15,0.3975977867141469,0.026381811916490822,2.491502358016211,2.220446049250313E-16,0.1168075340035906,0.2783954022608892,0.02785677655434943,4.557025345551625,0.022671393869808727,6.938893903907228E-18,0.7000000000000001,0,0,0.09664884893261746,0.061153776661788874,518.67,642.5433333333334,1590.6566666666665,1398.41,14.620000000000001,21.61,554.2066666666667,2388.0533333333333,9048.753333333334,1.3,47.25,521.7733333333332,2388.0733333333333,8134.423333333333,8.397599999999999,0.03,392.0,2388,100,38.89,23.377100000000002
1,19,0.0032,-3.0000000000000003E-4,100,518.67,641.79,1587.56,1400.3500000000001,14.620000000000001,21.61,554.1800000000001,2388.04,9053.99,1.3,47.4,521.89,2388.03,8129.13,8.4321,0.03,391,2388,100,38.800000000000004,23.346400000000003,173,0,0.3857667689161568,3.8454570599604865,2.0040980514935147,0,3.552713678800501E-15,0.38843403558389306,0.027367864366777316,2.5252740445344535,2.220446049250313E-16,0.12635268101627264,0.279864252808397,0.02835489375748666,4.131651485786188,0.01938768681405808,6.938893903907228E-18,0.7745966692414834,0,0,0.10637668917577793,0.06231903721977707,518.67,642.1166666666667,1586.8333333333333,1400.8100000000002,14.620000000000001,21.61,554.1066666666667,2388.0466666666666,9053.710000000001,1.3,47.31333333333333,521.8466666666667,2388.0466666666666,8129.8066666666655,8.4354,0.03,391.3333333333333,2388,100,38.833333333333336,23.342766666666666
1,20,-0.0037,1.0E-4,100,518.67,643.04,1581.1100000000001,1405.23,14.620000000000001,21.61,554.8100000000001,2388.05,9045.9,1.3,47.22,522.07,2388.02,8129.71,8.421000000000001,0.03,392,2388,100,39.03,23.422,172,0,0.3880012886576704,3.8476955440887015,2.468550991978918,0,3.552713678800501E-15,0.4204105136648994,0.027367864366777316,2.828400431339164,2.220446049250313E-16,0.10509043724335733,0.2908539152220669,0.028913664589585057,4.104200409336667,0.019066724941635936,6.938893903907228E-18,0.7000000000000001,0,0,0.10890362712049625,0.05735791139851557,518.67,642.7466666666667,1584.543333333333,1403.3600000000001,14.620000000000001,21.61,554.3966666666666,2388.05,9048.263333333332,1.3,47.223333333333336,521.9499999999999,2388.03,8130.523333333333,8.418633333333332,0.03,392.0,2388,100,38.96333333333333,23.42523333333334
1,21,-0.0012000000000000001,1.0E-4,100,518.67,642.37,1586.07,1398.13,14.620000000000001,21.61,554.08,2388.11,9048.15,1.3,47.15,522.42,2388.08,8134.02,8.4049,0.03,392,2388,100,39.09,23.310100000000002,171,0,0.385336216828904,3.618210745658696,2.606584930517334,0,3.552713678800501E-15,0.4004609843667508,0.028653097563771476,2.8773253205016136,2.220446049250313E-16,0.10509043724335733,0.3001732832881703,0.02879236009776791,3.2795531707840384,0.01835044686104414,6.938893903907228E-18,0.7000000000000001,0,0,0.11526057435220485,0.0504351702683751,518.67,642.5233333333334,1586.196666666667,1398.0666666666666,14.620000000000001,21.61,554.1533333333333,2388.0733333333333,9047.866666666669,1.3,47.160000000000004,522.1266666666667,2388.063333333333,8134.673333333333,8.409566666666665,0.03,392.0,2388,100,39.00333333333334,23.329466666666665
1,25,0.0023,-4.0E-4,100,518.67,642.77,1594.1000000000001,1399.39,14.620000000000001,21.61,554.0,2388.02,9054.16,1.3,47.36,522.5600000000001,2388.02,8136.610000000001,8.3917,0.03,393,2388,100,38.95,23.428800000000003,167,0,0.3526031763895508,3.7034957810155613,3.0898349470481508,0,3.552713678800501E-15,0.3427375088898096,0.029816103031735472,5.0146987945436745,2.220446049250313E-16,0.09930256794262653,0.32814783253892194,0.02107130750570358,3.1756355269458085,0.01973042320884193,6.938893903907228E-18,0.44721359549995787,0,0,0.0863712915267575,0.048379240382626816,518.67,642.64,1592.6200000000001,1399.59,14.620000000000001,21.61,554.02,2388.0366666666664,9054.506666666666,1.3,47.35,522.37,2388.0266666666666,8134.836666666667,8.394733333333333,0.03,392.3333333333333,2388,100,38.93666666666667,23.421400000000002
1,34,0.0015,-1.0E-4,100,518.67,642.54,1581.47,1400.48,14.620000000000001,21.61,554.3000000000001,2388.03,9046.460000000001,1.3,47.47,521.7,2388.09,8126.610000000001,8.4349,0.03,392,2388,100,38.81,23.3092,158,0,0.2666852076887739,4.247735985204353,2.1948578541673323,0,3.552713678800501E-15,0.2946794869005969,0.029732137494613033,3.8447756761612473,2.220446049250313E-16,0.07710382610480386,0.28391724146306313,0.034132096331784274,4.1289452648346225,0.017413741700163354,6.938893903907228E-18,1.2206555615733703,0,0,0.07841555968046121,0.06385189190619178,518.67,642.5266666666666,1584.6833333333334,1401.0900000000001,14.620000000000001,21.61,554.2666666666668,2388.0366666666664,9046.403333333334,1.3,47.42666666666667,521.8433333333334,2388.08,8127.196666666667,8.420033333333334,0.03,392.0,2388,100,38.86,23.3317
1,35,3.0000000000000003E-4,2.0E-4,100,518.67,642.44,1590.0,1403.0,14.620000000000001,21.61,554.3000000000001,2388.04,9045.76,1.3,47.31,521.75,2388.01,8140.17,8.443,0.03,391,2388,100,39.13,23.4164,157,0,0.22965191050807301,3.8178922195368625,2.4508969786590433,0,3.552713678800501E-15,0.27213232075591404,0.02799999999997129,3.7271839235542,2.220446049250313E-16,0.07758865896508206,0.2703257294450545,0.035552777669258157,4.6598202755042735,0.018344811255502406,6.938893903907228E-18,1.2206555615733703,0,0,0.09726767191621306,0.06308702005959707,518.67,642.4366666666666,1589.926666666667,1401.97,14.620000000000001,21.61,554.2433333333333,2388.04,9046.449999999999,1.3,47.28,521.7866666666667,2388.0466666666666,8134.763333333332,8.430900000000001,0.03,391.6666666666667,2388,100,39.03,23.367433333333338
