UnitNumber,Time,Setting1,Setting2,Setting3,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19,Sensor20,Sensor21,RUL
82,116,0.001,-0.0004,100.0,518.67,642.65,1575.87,1400.03,14.62,21.61,554.73,2388.04,9074.77,1.3,47.16,522.11,2388.01,8156.75,8.4178,0.03,393,2388,100.0,38.86,23.4082,98.0
65,135,0.0019,0.0005,100.0,518.67,643.56,1591.97,1418.04,14.62,21.61,551.92,2388.16,9049.49,1.3,47.98,520.83,2388.21,8126.1,8.4868,0.03,395,2388,100.0,38.6,23.223,18.0
67,238,-0.0027,0.0001,100.0,518.67,642.75,1599.76,1415.64,14.62,21.61,552.54,2388.11,9070.42,1.3,47.71,520.72,2388.14,8147.67,8.4641,0.03,393,2388,100.0,38.81,23.2341,75.0
13,162,-0.0011,0.0003,100.0,518.67,643.87,1605.83,1431.55,14.62,21.61,551.48,2388.16,9149.29,1.3,48.28,520.08,2388.15,8218.44,8.5015,0.03,397,2388,100.0,38.35,23.1104,1.0
73,177,-0.0017,-0.0004,100.0,518.67,643.31,1596.5,1427.06,14.62,21.61,551.9,2388.23,9042.02,1.3,47.86,520.82,2388.29,8121.11,8.4669,0.03,395,2388,100.0,38.66,23.1596,36.0
96,35,0.0027,0.0001,100.0,518.67,641.63,1584.2,1396.97,14.62,21.61,554.13,2388.06,9044.22,1.3,47.14,522.26,2388.02,8128.4,8.4146,0.03,392,2388,100.0,38.87,23.3176,301.0
11,112,0.0009,0.0001,100.0,518.67,642.63,1582.95,1391.29,14.62,21.61,554.04,2388.05,9054.54,1.3,47.37,522.36,2388.07,8136.68,8.3999,0.03,392,2388,100.0,39.01,23.4675,128.0
81,138,0.0004,0.0004,100.0,518.67,642.48,1587.57,1409.59,14.62,21.61,553.76,2388.03,9058.55,1.3,47.55,521.6,2388.08,8138.41,8.4441,0.03,392,2388,100.0,38.89,23.3827,102.0
73,120,-0.0008,0.0004,100.0,518.67,642.74,1588.91,1414.69,14.62,21.61,552.68,2388.17,9038.78,1.3,47.89,520.78,2388.18,8126.44,8.4966,0.03,395,2388,100.0,38.83,23.2151,93.0
17,55,0.0004,-0.0003,100.0,518.67,642.08,1583.19,1393.34,14.62,21.61,553.72,2387.97,9054.81,1.3,47.43,521.76,2388.05,8146.6,8.4243,0.03,393,2388,100.0,38.9,23.4178,221.0
6,17,0.0015,-0.0005,100.0,518.67,643.11,1588.67,1411.59,14.62,21.61,552.85,2388.08,9042.32,1.3,47.49,521.35,2388.12,8122.36,8.445,0.03,392,2388,100.0,38.87,23.2692,171.0
23,161,-0.0017,-0.0002,100.0,518.67,643.93,1595.92,1422.2,14.62,21.61,551.66,2388.31,9064.58,1.3,48.12,520.14,2388.27,8132.69,8.5325,0.03,395,2388,100.0,38.38,23.1142,7.0
69,151,0.0026,0.0002,100.0,518.67,642.57,1585.42,1406.85,14.62,21.61,554.12,2388.03,9058.23,1.3,47.5,521.81,2388.04,8141.88,8.431,0.03,392,2388,100.0,38.79,23.3772,211.0
56,113,-0.0012,-0.0004,100.0,518.67,642.98,1584.64,1404.15,14.62,21.61,553.7,2388.11,9061.93,1.3,47.82,520.71,2388.12,8141.64,8.4336,0.03,392,2388,100.0,38.83,23.4252,162.0
52,57,-0.0015,0.0004,100.0,518.67,643.35,1589.99,1406.79,14.62,21.61,552.78,2388.1,9046.43,1.3,47.42,521.69,2388.08,8128.55,8.4353,0.03,393,2388,100.0,38.95,23.3532,156.0
16,189,-0.0033,-0.0003,100.0,518.67,643.69,1599.54,1418.5,14.62,21.61,551.1,2388.24,9057.21,1.3,48.03,520.03,2388.27,8135.39,8.4897,0.03,394,2388,100.0,38.5,23.164,20.0
82,156,-0.0018,0.0001,100.0,518.67,642.32,1593.92,1408.5,14.62,21.61,553.54,2388.04,9094.46,1.3,47.66,521.9,2388.04,8172.37,8.4501,0.03,394,2388,100.0,38.83,23.3885,58.0
73,82,-0.0014,0.0004,100.0,518.67,642.91,1582.29,1414.53,14.62,21.61,552.9,2388.15,9040.12,1.3,47.58,521.77,2388.14,8124.91,8.475,0.03,395,2388,100.0,38.79,23.2823,131.0
47,181,-0.0035,0.0003,100.0,518.67,643.25,1596.7,1412.54,14.62,21.61,553.07,2388.14,9086.48,1.3,47.79,521.43,2388.1,8159.96,8.4695,0.03,394,2388,100.0,38.6,23.1514,33.0
70,63,0.0022,0.0,100.0,518.67,642.07,1596.38,1404.79,14.62,21.61,553.54,2388.08,9061.58,1.3,47.64,521.62,2388.08,8137.32,8.4399,0.03,393,2388,100.0,39.12,23.3178,74.0
80,4,0.0007,-0.0003,100.0,518.67,643.04,1589.6,1412.19,14.62,21.61,553.18,2388.13,9047.89,1.3,47.51,520.98,2388.09,8133.99,8.4308,0.03,395,2388,100.0,39.01,23.3077,181.0
95,25,-0.0048,0.0004,100.0,518.67,642.4,1583.59,1397.7,14.62,21.61,554.58,2387.95,9063.76,1.3,47.1,522.42,2388.0,8149.76,8.3871,0.03,392,2388,100.0,39.05,23.4489,258.0
33,28,-0.0003,0.0001,100.0,518.67,641.47,1582.45,1394.62,14.62,21.61,554.26,2388.01,9057.51,1.3,47.11,522.35,2387.99,8146.18,8.3938,0.03,390,2388,100.0,38.92,23.362,172.0
72,142,-0.0002,0.0005,100.0,518.67,642.94,1593.16,1411.91,14.62,21.61,553.61,2388.12,9047.86,1.3,47.65,521.36,2388.11,8128.27,8.4229,0.03,393,2388,100.0,38.73,23.2584,71.0
46,127,-0.0014,-0.0002,100.0,518.67,642.57,1576.26,1398.11,14.62,21.61,553.99,2388.05,9054.58,1.3,47.17,522.28,2388.01,8139.11,8.4641,0.03,392,2388,100.0,39.08,23.3481,129.0
81,30,-0.0009,0.0004,100.0,518.67,642.74,1585.0,1410.4,14.62,21.61,553.6,2388.0,9054.67,1.3,47.5,521.43,2388.06,8144.03,8.4125,0.03,391,2388,100.0,39.0,23.3942,210.0
69,251,0.0016,0.0003,100.0,518.67,642.33,1592.05,1410.23,14.62,21.61,553.41,2388.09,9059.4,1.3,47.35,520.61,2388.1,8135.89,8.495,0.03,392,2388,100.0,38.96,23.1695,111.0
95,130,0.0019,0.0002,100.0,518.67,642.51,1579.22,1396.7,14.62,21.6,554.31,2387.98,9068.78,1.3,47.2,522.13,2388.0,8148.32,8.3894,0.03,392,2388,100.0,38.95,23.2674,153.0
20,161,-0.0009,0.0001,100.0,518.67,642.94,1595.83,1416.61,14.62,21.61,552.49,2388.11,9073.51,1.3,47.89,521.05,2388.07,8146.52,8.4465,0.03,393,2388,100.0,38.58,23.1748,73.0
92,137,-0.0018,-0.0002,100.0,518.67,642.6,1586.84,1404.47,14.62,21.61,553.78,2388.07,9061.68,1.3,47.2,521.24,2388.03,8146.92,8.4225,0.03,391,2388,100.0,38.87,23.3859,204.0
32,155,-0.0005,-0.0003,100.0,518.67,642.94,1590.69,1423.71,14.62,21.61,552.35,2388.16,9063.34,1.3,47.71,520.38,2388.18,8139.65,8.4572,0.03,395,2388,100.0,38.48,23.2381,36.0
4,21,-0.0029,-0.0001,100.0,518.67,642.49,1593.11,1398.49,14.62,21.61,554.01,2388.05,9056.58,1.3,47.33,521.5,2388.07,8139.62,8.4263,0.03,393,2388,100.0,38.97,23.2878,168.0
81,140,0.0011,-0.0001,100.0,518.67,642.7,1595.19,1403.6,14.62,21.61,552.35,2388.11,9066.41,1.3,47.59,521.19,2388.14,8138.67,8.4411,0.03,393,2388,100.0,38.82,23.2691,100.0
86,48,0.0017,0.0002,100.0,518.67,643.06,1590.42,1401.64,14.62,21.61,553.49,2388.06,9064.26,1.3,47.47,521.67,2388.01,8135.08,8.4249,0.03,392,2388,100.0,39.01,23.3079,230.0
100,143,-0.0031,-0.0003,100.0,518.67,642.83,1588.03,1413.06,14.62,21.61,553.04,2388.11,9059.99,1.3,47.77,520.98,2388.13,8145.26,8.4352,0.03,394,2388,100.0,38.52,23.1846,57.0
22,20,-0.0014,-0.0001,100.0,518.67,643.22,1591.93,1411.39,14.62,21.61,553.18,2388.14,9044.9,1.3,47.74,520.91,2388.14,8125.48,8.4526,0.03,393,2388,100.0,39.01,23.2308,182.0
94,249,0.0023,-0.0004,100.0,518.67,644.04,1600.85,1420.47,14.62,21.61,551.97,2388.13,9139.87,1.3,48.01,520.38,2388.16,8199.38,8.5378,0.03,397,2388,100.0,38.49,23.098,9.0
98,95,0.0016,0.0004,100.0,518.67,642.56,1585.3,1407.67,14.62,21.61,553.79,2388.03,9074.58,1.3,47.61,521.05,2388.03,8149.44,8.4146,0.03,393,2388,100.0,38.8,23.315,61.0
23,25,0.0007,-0.0004,100.0,518.67,642.7,1585.12,1410.4,14.62,21.61,554.34,2388.09,9055.37,1.3,47.49,520.88,2388.12,8137.12,8.4591,0.03,394,2388,100.0,38.75,23.3392,143.0
87,34,-0.0007,0.0004,100.0,518.67,642.47,1581.05,1412.11,14.62,21.61,553.9,2388.03,9067.77,1.3,47.53,522.07,2388.09,8140.81,8.4092,0.03,392,2388,100.0,38.82,23.3277,144.0
53,61,-0.003,-0.0003,100.0,518.67,642.73,1592.11,1407.31,14.62,21.61,553.88,2388.13,9061.37,1.3,47.28,521.71,2388.09,8140.45,8.472,0.03,394,2388,100.0,38.99,23.4569,134.0
31,48,-0.007,-0.0004,100.0,518.67,642.16,1582.58,1398.43,14.62,21.61,555.04,2388.02,9053.91,1.3,47.3,522.53,2387.97,8138.96,8.4014,0.03,394,2388,100.0,39.07,23.5247,186.0
20,20,-0.0013,-0.0001,100.0,518.67,642.78,1592.77,1406.23,14.62,21.61,553.05,2388.11,9060.11,1.3,47.35,521.31,2388.09,8134.9,8.44,0.03,392,2388,100.0,38.78,23.3233,214.0
39,47,0.0014,0.0002,100.0,518.67,642.76,1584.28,1414.16,14.62,21.61,553.03,2388.14,9047.9,1.3,47.6,521.1,2388.14,8127.14,8.4361,0.03,394,2388,100.0,38.7,23.2567,81.0
83,78,-0.0012,0.0004,100.0,518.67,641.99,1581.62,1398.8,14.62,21.61,554.72,2387.98,9050.51,1.3,47.21,522.4,2388.01,8137.39,8.3901,0.03,391,2388,100.0,38.98,23.4213,215.0
80,134,0.0009,0.0003,100.0,518.67,642.96,1589.73,1412.17,14.62,21.61,553.16,2388.17,9076.3,1.3,47.74,520.79,2388.13,8156.27,8.4694,0.03,394,2388,100.0,38.73,23.2709,51.0
40,2,0.0015,0.0001,100.0,518.67,642.91,1585.97,1414.86,14.62,21.61,553.02,2388.13,9058.39,1.3,47.55,521.29,2388.14,8137.99,8.4227,0.03,392,2388,100.0,38.63,23.3334,186.0
5,242,0.0021,-0.0005,100.0,518.67,643.07,1603.83,1416.36,14.62,21.61,552.37,2388.13,9116.12,1.3,47.91,521.5,2388.06,8186.92,8.5047,0.03,395,2388,100.0,38.47,23.2526,27.0
92,17,-0.0007,0.0003,100.0,518.67,642.26,1583.97,1402.97,14.62,21.61,554.32,2388.03,9051.95,1.3,47.18,521.74,2388.06,8139.26,8.4102,0.03,392,2388,100.0,39.02,23.3179,324.0
49,58,0.0,0.0001,100.0,518.67,642.95,1592.41,1409.13,14.62,21.61,553.63,2388.1,9045.97,1.3,47.59,521.17,2388.1,8123.16,8.4345,0.03,392,2388,100.0,38.79,23.3413,157.0
87,54,-0.0006,-0.0002,100.0,518.67,642.29,1587.71,1414.83,14.62,21.61,553.63,2388.12,9073.16,1.3,47.35,521.79,2388.07,8139.85,8.448,0.03,392,2388,100.0,38.79,23.352,124.0
14,53,0.0003,-0.0004,100.0,518.67,643.15,1591.46,1405.97,14.62,21.61,553.82,2388.06,9055.35,1.3,47.52,521.09,2388.06,8139.93,8.4252,0.03,393,2388,100.0,38.91,23.308,127.0
34,25,-0.0016,-0.0001,100.0,518.67,642.05,1595.39,1409.69,14.62,21.61,553.11,2388.16,9049.94,1.3,47.36,521.91,2388.06,8135.63,8.401,0.03,392,2388,100.0,38.82,23.1221,170.0
41,189,-0.0027,0.0002,100.0,518.67,643.62,1598.57,1421.09,14.62,21.61,553.06,2388.11,9116.88,1.3,47.82,520.8,2388.11,8190.93,8.4892,0.03,396,2388,100.0,38.72,23.1772,27.0
77,121,0.0013,0.0002,100.0,518.67,643.01,1588.1,1419.72,14.62,21.61,552.49,2388.17,9057.49,1.3,47.93,520.6,2388.13,8137.39,8.4468,0.03,393,2388,100.0,38.73,23.1984,33.0
15,205,-0.0027,0.0004,100.0,518.67,643.46,1599.75,1425.96,14.62,21.61,550.98,2388.33,9042.81,1.3,48.3,519.67,2388.27,8122.93,8.5154,0.03,397,2388,100.0,38.55,23.1362,2.0
13,101,0.0001,0.0002,100.0,518.67,642.98,1597.42,1414.86,14.62,21.61,553.73,2388.11,9062.6,1.3,47.75,520.85,2388.12,8148.34,8.4758,0.03,394,2388,100.0,38.73,23.2955,62.0
95,104,0.0025,0.0004,100.0,518.67,642.55,1593.81,1403.41,14.62,21.61,554.25,2388.03,9069.96,1.3,47.28,522.34,2387.95,8153.52,8.4069,0.03,392,2388,100.0,39.14,23.3588,179.0
84,77,-0.0008,0.0004,100.0,518.67,642.46,1591.49,1409.39,14.62,21.61,553.0,2388.15,9050.51,1.3,47.56,520.84,2388.16,8132.81,8.4119,0.03,393,2388,100.0,38.9,23.241,190.0
83,258,-0.0024,-0.0003,100.0,518.67,642.85,1592.27,1402.39,14.62,21.61,552.86,2388.22,9051.85,1.3,47.85,520.95,2388.15,8123.81,8.4725,0.03,392,2388,100.0,38.91,23.1503,35.0
27,64,-0.0023,-0.0004,100.0,518.67,642.59,1591.45,1403.31,14.62,21.61,553.92,2388.15,9068.6,1.3,47.55,521.87,2388.05,8146.86,8.4189,0.03,393,2388,100.0,39.07,23.3385,92.0
69,185,0.0017,-0.0005,100.0,518.67,642.33,1580.72,1404.39,14.62,21.61,553.99,2388.12,9061.07,1.3,47.49,521.18,2388.06,8146.7,8.4405,0.03,394,2388,100.0,38.83,23.4062,177.0
