"UnitNumber","Time","Setting1","Setting2","Setting3","Sensor1","Sensor2","Sensor3","Sensor4","Sensor5","Sensor6","Sensor7","Sensor8","Sensor9","Sensor10","Sensor11","Sensor12","Sensor13","Sensor14","Sensor15","Sensor16","Sensor17","Sensor18","Sensor19","Sensor20","Sensor21","sd_10_Sensor1","sd_10_Sensor2","sd_10_Sensor3","sd_10_Sensor4","sd_10_Sensor5","sd_10_Sensor6","sd_10_Sensor7","sd_10_Sensor8","sd_10_Sensor9","sd_10_Sensor10","sd_10_Sensor11","sd_10_Sensor12","sd_10_Sensor13","sd_10_Sensor14","sd_10_Sensor15","sd_10_Sensor16","sd_10_Sensor17","sd_10_Sensor18","sd_10_Sensor19","sd_10_Sensor20","sd_10_Sensor21","k_closest_Sensor1","k_closest_Sensor2","k_closest_Sensor3","k_closest_Sensor4","k_closest_Sensor5","k_closest_Sensor6","k_closest_Sensor7","k_closest_Sensor8","k_closest_Sensor9","k_closest_Sensor10","k_closest_Sensor11","k_closest_Sensor12","k_closest_Sensor13","k_closest_Sensor14","k_closest_Sensor15","k_closest_Sensor16","k_closest_Sensor17","k_closest_Sensor18","k_closest_Sensor19","k_closest_Sensor20","k_closest_Sensor21","RUL"
1,31,-6.000000000000001E-4,4.0E-4,100,518.67,642.58,1581.22,1398.91,14.620000000000001,21.61,554.42,2388.08,9056.4,1.3,47.230000000000004,521.79,2388.06,8130.110000000001,8.4024,0.03,393,2388,100,38.81,23.3552,0,0.2676284738214521,4.375641210154224,3.2876084012546225,0,3.552713678800501E-15,0.5370661039388234,0.029137604568698953,4.601145074869807,2.220446049250313E-16,0.1056219674120882,0.25988458977015233,0.026627053911367042,2.4966916109124435,0.021193633478004632,6.938893903907228E-18,0.7483314773547883,0,0,0.10826356727911805,0.025035343017422152,518.67,642.4833333333332,1584.53,1399.1100000000001,14.620000000000001,21.61,554.3066666666667,2388.0766666666664,9053.136666666667,1.3,47.32333333333333,521.7966666666666,2388.066666666667,8130.16,8.411533333333333,0.03,392.3333333333333,2388,100,38.836666666666666,23.355833333333333,112
2,49,0.0018000000000000002,-1.0E-4,100,518.67,642.5500000000001,1586.5900000000001,1410.83,14.620000000000001,21.61,553.52,2388.1,9044.77,1.3,47.67,521.74,2388.09,8126.900000000001,8.4505,0.03,391,2388,100,38.81,23.2618,0,0.12039933554635217,2.7348820815530632,3.2940930466518155,0,3.552713678800501E-15,0.3289376840679766,0.034351128074577617,3.1600742079891693,2.220446049250313E-16,0.08371977066380437,0.3676737684415348,0.01857417562100818,1.9494983970243416,0.022625801643256477,6.938893903907228E-18,0.8,0,0,0.0805046582503161,0.04715449607407529,518.67,642.5566666666667,1587.2933333333333,1409.6633333333332,14.620000000000001,21.61,553.5500000000001,2388.1000000000004,9045.37,1.3,47.55666666666667,521.57,2388.096666666667,8126.923333333333,8.447899999999999,0.03,391.6666666666667,2388,100,38.85666666666666,23.2814,98
3,126,-0.0016,4.0E-4,100,518.67,642.88,1589.75,1418.89,14.620000000000001,21.61,552.59,2388.16,9049.26,1.3,47.88,520.83,2388.14,8131.46,8.411900000000001,0.03,395,2388,100,38.93,23.274,0,0.25092628399591577,3.7059898812597813,2.9549862943844776,0,3.552713678800501E-15,0.3372847461715581,0.024819347291929826,3.2371864326911037,2.220446049250313E-16,0.1251598977308635,0.28612060394176797,0.025865034312737754,2.755282381172468,0.021768325613147378,6.938893903907228E-18,0.9433981132056604,0,0,0.12712592182556562,0.037166125706078225,518.67,642.8633333333333,1589.6266666666668,1414.8100000000002,14.620000000000001,21.61,552.7033333333333,2388.1466666666665,9048.406666666668,1.3,47.76666666666667,520.7433333333333,2388.1533333333327,8131.456666666666,8.442599999999999,0.03,394.6666666666667,2388,100,38.75333333333333,23.253533333333333,69
4,106,0.0012000000000000001,4.0E-4,100,518.67,642.78,1594.53,1406.88,14.620000000000001,21.61,552.64,2388.13,9051.300000000001,1.3,47.65,521.88,2388.11,8133.64,8.4634,0.03,395,2388,100,38.58,23.258100000000002,0,0.17976651523572285,2.7090485414624577,4.0478359650558815,0,3.552713678800501E-15,0.41866932058604633,0.04247352116310058,4.81240521984617,2.220446049250313E-16,0.04919349550499498,0.28281442678901225,0.023685438564598885,2.5810666399765174,0.015730508574105382,6.938893903907228E-18,1.019803902718557,0,0,0.09737042672187507,0.051870169654629594,518.67,642.7733333333334,1593.9333333333334,1407.0833333333333,14.620000000000001,21.61,553.08,2388.1233333333334,9051.94,1.3,47.64666666666667,521.6633333333333,2388.12,8133.91,8.464566666666668,0.03,394.3333333333333,2388,100,38.69333333333334,23.25636666666667,82
5,98,-0.0013000000000000002,-4.0E-4,100,518.67,642.27,1589.94,1419.3600000000001,14.620000000000001,21.61,553.29,2388.1,9053.99,1.3,47.46,521.0,2388.15,8125.74,8.436200000000001,0.03,394,2388,100,38.75,23.4117,0,0.1926551322960298,2.764665621734402,4.714275023797402,0,3.552713678800501E-15,0.4447696032779233,0.02828427124748441,3.3541788861058635,2.220446049250313E-16,0.10909170454255501,0.22699118925632575,0.030999999999997477,3.4816323757685375,0.017218466830702474,6.938893903907228E-18,0.6708203932499369,0,0,0.07799999999999939,0.07460846131639534,518.67,642.5666666666667,1590.7733333333333,1414.5600000000002,14.620000000000001,21.61,553.4599999999999,2388.1,9054.173333333332,1.3,47.42333333333334,521.04,2388.15,8127.8499999999985,8.437633333333332,0.03,393.6666666666667,2388,100,38.76,23.357,91
6,105,0.0076,-3.0000000000000003E-4,100,518.67,643.0500000000001,1586.94,1404.49,14.620000000000001,21.61,553.73,2388.14,9055.83,1.3,47.51,521.5600000000001,2388.15,8139.02,8.4452,0.03,393,2388,100,38.910000000000004,23.326900000000002,0,0.33991763708284906,3.056874384072686,2.5081076531919564,0,3.552713678800501E-15,0.3723237838226331,0.025865034312681497,2.6769901008409085,2.220446049250313E-16,0.08022468448052586,0.33714092009129537,0.022000000000017197,2.837512290722319,0.015075679089181946,6.938893903907228E-18,0.7483314773547883,0,0,0.12172099243762292,0.05529193521662976,518.67,642.9533333333334,1587.7033333333331,1405.0266666666666,14.620000000000001,21.61,553.4866666666667,2388.1466666666665,9053.793333333331,1.3,47.51666666666666,521.5133333333333,2388.1333333333328,8134.9800000000005,8.444066666666666,0.03,393.0,2388,100,38.87333333333334,23.3318,93
7,160,0.0016,-1.0E-4,100,518.67,642.1,1589.5900000000001,1413.57,14.620000000000001,21.61,553.42,2388.04,9070.99,1.3,47.32,522.32,2388.07,8149.1900000000005,8.402800000000001,0.03,393,2388,100,38.910000000000004,23.276300000000003,0,0.3754144376552434,2.816147900945518,5.492067370307818,0,3.552713678800501E-15,0.3397366627257035,0.0268514431641546,5.639715329695341,2.220446049250313E-16,0.0972676719162127,0.29087626235223024,0.033823069050614676,3.3029273379836326,0.017905205946874798,6.938893903907228E-18,0.5385164807134504,0,0,0.06609841147864377,0.06361110044638435,518.67,641.9966666666667,1589.14,1411.2766666666666,14.620000000000001,21.61,553.5533333333333,2388.0400000000004,9073.14,1.3,47.37000000000001,522.39,2388.0733333333337,8147.320000000001,8.413433333333332,0.03,393.0,2388,100,38.88666666666666,23.294766666666664,91
8,166,0.0016,-5.0E-4,100,518.67,642.59,1591.91,1413.89,14.620000000000001,21.61,553.51,2388.14,9049.960000000001,1.3,47.59,520.53,2388.12,8127.84,8.474400000000001,0.03,393,2388,100,38.730000000000004,23.2465,0,0.22079175709250248,4.2246354872344165,3.39587411427458,0,3.552713678800501E-15,0.32929621923125807,0.01962141687027859,3.5502895656550417,2.220446049250313E-16,0.042059481689626664,0.23350588857670765,0.04054626986542111,2.3110095196688243,0.014640819649186137,6.938893903907228E-18,0.7000000000000001,0,0,0.08352245207128393,0.04210477882616177,518.67,642.7400000000001,1593.676666666667,1413.17,14.620000000000001,21.61,553.3966666666666,2388.1466666666665,9051.26,1.3,47.57333333333333,520.8066666666667,2388.1133333333332,8128.64,8.4639,0.03,393.0,2388,100,38.74999999999999,23.268833333333333,95
9,55,-3.0000000000000003E-4,4.0E-4,100,518.67,642.27,1593.6100000000001,1410.27,14.620000000000001,21.61,552.58,2388.13,9057.57,1.3,47.58,521.65,2388.16,8134.76,8.4293,0.03,392,2388,100,38.78,23.3515,0,0.28913837517699303,4.25371884355324,2.7114431581724086,0,3.552713678800501E-15,0.3972014602188609,0.030347981810940707,3.3954286916382452,2.220446049250313E-16,0.12899999999999953,0.3220310544031332,0.03544009029327568,3.3779119289882256,0.015566772305137791,6.938893903907228E-18,0.6324555320336759,0,0,0.07608547824650856,0.05133586368222525,518.67,642.3766666666667,1590.946666666667,1409.3666666666668,14.620000000000001,21.61,552.97,2388.13,9054.726666666667,1.3,47.56333333333333,521.5466666666667,2388.163333333334,8133.570000000001,8.4358,0.03,392.3333333333333,2388,100,38.78333333333333,23.343300000000003,111
10,192,-0.0018000000000000002,4.0E-4,100,518.67,643.0,1589.5,1398.99,14.620000000000001,21.61,552.88,2388.11,9060.880000000001,1.3,47.59,521.82,2388.08,8141.91,8.4194,0.03,393,2388,100,38.79,23.2956,0,0.36620895674465104,3.3515174175289633,5.7644916514815385,0,3.552713678800501E-15,0.5226327582538091,0.03257299494978969,2.96109591198921,2.220446049250313E-16,0.12767536959022419,0.27325628995503876,0.026381811916518397,3.5802703808513043,0.02316320573668535,6.938893903907228E-18,0.7483314773547882,0,0,0.0838093073590273,0.0691639819559284,518.67,642.9433333333334,1588.6800000000005,1399.8733333333332,14.620000000000001,21.61,553.29,2388.116666666667,9061.516666666665,1.3,47.55333333333334,521.62,2388.066666666666,8142.153333333333,8.409999999999998,0.03,392.6666666666667,2388,100,38.81,23.291300000000007,96
